model,noise_level,model_seed,run_directory,epoch,train_loss,standard_validation_loss,standard_observed_validation_auc,standard_latent_validation_auc,standard_validation_f1,learning_rate,best_epoch_so_far,patience_counter,training_seconds
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,11,8.079111082341939e-09,1.192092824453539e-11,1.0,1.0,1.0,9.574468085106385e-06,10,1,25492.999147176743
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,12,8.138715724488321e-09,4.768371297814156e-12,1.0,1.0,1.0,8.510638297872341e-06,12,0,27877.13982486725
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,13,8.196830249609377e-09,2.384185648907078e-12,1.0,1.0,1.0,7.446808510638298e-06,13,0,34288.998885154724
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,14,8.235573266333062e-09,4.768371297814156e-12,1.0,1.0,1.0,6.382978723404256e-06,13,1,40740.43261122704
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,15,8.225142453248681e-09,4.768371297814156e-12,1.0,1.0,1.0,5.319148936170213e-06,13,2,47184.244988679886
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,16,8.247792217659367e-09,4.768371297814156e-12,1.0,1.0,1.0,4.255319148936171e-06,13,3,53620.65067982674
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,1,0.6760831831264495,0.6670128993797302,0.5980956225474685,0.8091139919139149,0.2382572138352761,1.6666666666666667e-05,1,0,6518.8357763290405
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,2,0.6329951596301794,0.6199277167701721,0.6678364142904466,0.9990563337191788,0.5727181544633901,1.914893617021277e-05,2,0,13019.89283490181
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,3,0.6164457234722376,0.614284288444519,0.6684086187072427,0.9994898050290734,0.5698997791744522,1.8085106382978724e-05,3,0,19489.914083480835
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,4,0.6154495687818528,0.6144556672286987,0.6690139993769956,0.9998612579737026,0.5713477744471467,1.7021276595744682e-05,3,1,26065.685884714127
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,5,0.6146169020712375,0.6131285136604309,0.6675892340165752,0.9998943816717778,0.5727680967040416,1.595744680851064e-05,5,0,32649.37759923935
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,6,0.6141688054180146,0.6175886085891724,0.6686330383181084,0.9982518944141798,0.5741330159696659,1.4893617021276596e-05,5,1,39236.5170071125
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,7,0.6136252784085273,0.6136277223396301,0.6671470007659819,0.999899954235478,0.5740589543624539,1.3829787234042556e-05,5,2,45829.76613259316
llama_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,8,0.612808425090909,0.616400403137207,0.6680140451697324,0.9999486098698276,0.573716864072194,1.2765957446808513e-05,5,3,52378.028136491776
